MEASUREMENT_FREE_TEXT	extracted::IS_POS	COUNT	NOTES	ratio_COUNT	Npeople	ratio_Npeople	Npeople	ratio_Npeople
Seul posit	1	1535	check testID --> OK	2.234	1122	2.109	1437	NA
Viljely Seulontatulos positiivinen solulaskennan perusteella. Jatkoviljelyn tulos vastataan myöhemmin tutkimukselle U -BaktSJVi.	NA	1474	NA	73.7	1252	62.6	963	NA
AB Rh POS	NA	1313	NA	1.413	1130	1.373	890	NA
Resultat: pos	1	1238	NA	1	549	1	990	NA
posit.	1	1191	NA	1.169	874	1.116	869	NA
Tutkimuksen tulos: NEGATNäytelaatu:Nenänieluerite	0	1149	NA	0.998	1004	0.999	408	NA
A Rh(D)neg	NA	1122	NA	1.057	684	1.074	491	NA
NEGATNäytteen laatu:nenänielu	0	1094	NA	0.996	768	0.997	894	NA
Negatiivinen tulos ei poissulje primaarivaiheen syfilistä	0	1083	NA	4.729	887	4.526	847	NA
positive	1	1077	NA	1.024	559	1.037	824	NA
Tutkimuksen tulos: negatiivinen	0	1073	NA	1	815	1	606	NA
Vastaus: neg	0	1061	NA	0.997	280	0.996	867	NA
NEGAT U/ml	0	1039	NA	0.997	948	0.997	696	NA
GRAM-VÄRJ:: ; AER.VILJ:: NEGATIIVINEN; ANAER.VI:: NEGATIIVINEN; SIENI-VI:: ; HERKKYYS:: ; NhO::	NA	1034	Package, so information needs to be unpacked	NA	570	NA	738	NA
posit pmy/ml	1	1020	NA	1.001	626	1.002	803	NA
1. LÖYDÖS: (Viljely) NEGATIIVINEN	0	1015	NA	1.499	732	1.581	498	NA
NEGAT HPV 16 - NegatiivinenHPV 18 - NegatiivinenMuut korkean riskin HPV-tyypit(31,33,35,39,45,51,52,56,58,59,66,68) -Negatiivinen	NA	1007	Package, so information needs to be unpacked	NA	1003	NA	725	NA
A Rh NEG	NA	1004	NA	1.438	839	1.366	453	NA
Provresultat: NEG	0	981	NA	4.071	472	2.969	710	NA
Resultat: NEGAT Lomake	0	957	NA	1	479	1	725	NA
NEG E6/L	0	955	NA	1.074	782	1.077	751	NA
SARS-CoV-2-nukleiinihappo-osoitus negatiivinen.	0	941	NA	1.006	695	1.01	562	NA
Nukleiinihaponosoitukset negatiiviset.	0	940	NA	2.709	637	2.711	539	NA
NEG IU/ml	0	922	NA	1.787	514	1.862	681	NA
Provresultat: NEGAT	0	917	NA	1.094	405	1.098	392	NA
NEGAT Titteri	0	915	NA	1.042	649	1.067	458	NA
Neg E6/L	0	912	NA	1.042	752	1.053	609	NA
Tutkimuksen tulos: negatNäytelaatu:Nenänieluerite	0	905	NA	0.997	808	0.998	378	NA
seulpos	1	871	check testID --> OK	1.148	300	1.06	602	NA
O Rh(D)neg	NA	826	NA	1.044	551	1.046	71	NA
1. LÖYDÖS: Negatiivinen	0	814	NA	NA	606	NA	604	NA
Bakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, jatkoviljelyä ei tehdä.	NA	793	NA	12.587	638	11	453	NA
Resultat: NEG Lomake	0	766	NA	0.999	564	0.998	538	NA
O Rh NEG	NA	727	NA	1.437	622	1.407	388	NA
Näytteenottotapa: KeskisuihkuRakkoaika: Alle 4hBakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, jatkoviljelyä ei tehdä.	0	723	NA	1	573	1	528	NA
Resultat: neg Lomake	0	720	NA	0.999	403	0.998	472	NA
Negat. Serokonversio HCV-infektiossa tapahtuu useimmiten vasta 3 - 4 kuukautta tartunnasta. Vasta-aineiden tutkiminen on näin ollen akuutin C-hepatiitin diagnostiikassa vain rajallisesti sovelias.	NA	701	NA	63.727	555	50.455	453	NA
POSIT U/ml	1	687	NA	1	483	1	567	NA
Resultat: Neg	0	660	NA	1	173	1	387	NA
Tutkimuksen tulos: NEGATNäytelaatu:NENÄNIELUERITE	0	647	NA	0.997	597	0.997	381	NA
Tehty Negatiivinen	0	640	NA	NA	575	NA	476	NA
Tutkimuksen tulos: POSIT	1	635	NA	0.997	550	0.996	355	NA
POS Arvio	1	632	NA	1.35	438	1.348	381	NA
Tutkimuksen tulos: negat.	0	632	NA	1	491	1	410	NA
POS/NEG	NA	631	WTF	1.315	530	1.318	420	NA
POSITIIVINEN	1	627	NA	1.018	605	1.017	382	NA
Negat. U/l	0	622	NA	1.254	562	1.241	353	NA
Tutkimuksen tulos: Negatiivinen streptokokkiviljely.	0	588	NA	1	500	1	397	NA
neg Arvio	0	587	NA	1	332	1	162	NA
Vastaus: NEGAT	0	578	NA	1	88	1	371	NA
Tutkimuksen tulos: Lausunto1. LÖYDÖS: (Viljely) NEGATIIVINEN	0	577	NA	1	173	1	460	NA
+(pos eiA)	1	576	NA	1	476	1	409	NA
Tutkimuksen tulos: Pos	1	557	NA	1	441	1	302	NA
? RhD pos	NA	548	NA	1.387	107	1.274	381	NA
Provresultat: neg Lomake	0	545	NA	1.736	170	1.441	308	NA
Tutkimuksen tulos: NEGAT Titteri	0	539	NA	1.002	505	1.002	424	NA
Tutkimuksen tulos: NEG Arvio	0	535	NA	0.991	432	0.995	231	NA
Provresultat: Negat l	0	511	NA	1.172	283	1.119	362	NA
B Rh(D)neg	NA	505	NA	1.041	296	1.042	277	NA
Resultat: NEG	0	499	NA	1	425	1	383	NA
<0.10 Negatiivinen. Herkistyminen onepätodennäköinen, mutta ei poissuljettu.	0	495	NA	NA	254	NA	260	NA
Näytteenottotapa: KeskisuihkuBakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, jatkoviljelyä ei tehdä.	0	491	NA	0.998	427	0.998	337	NA
Ei tehty, koska seulonta negatiivinen	NA	484	NA	3.063	213	2.803	169	NA
Näytteenottotapa: KeskisuihkuRakkoaika: Yli 4hBakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, jatkoviljelyä ei tehdä.	0	477	NA	0.998	411	0.998	317	NA
Tutkimuksen tulos: Negat. Serokonversio HCV-infektiossa tapahtuu useimmiten vasta 3 - 4 kuukautta sairastumisesta. Vasta-aineiden tutkiminen on näin ollen akuutin C-hepatiitin diagnostiikassa vain rajallisesti sovelias.	0	477	NA	1	221	1	285	NA
Bakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, jatkoviljelyä ei tehdä.Virtsanäytetyyppi: PLV (Keskivirtsa)Rakkoaika: Ei tietoa	NA	458	Package, so information needs to be unpacked	NA	418	NA	305	NA
Tehty; 2 VRK:N VILJELY NEGATIIVINEN Mikäli kasvua ilmenee rikastusviljelyssä,  ilmoitamme siitä noin 6 vrk:n kuluessa.	NA	453	Package, so information needs to be unpacked	NA	296	NA	246	NA
Bakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, näytettäei viljellä.Virtsanäytetyyppi: PLV:aamu/&gt;4hMIKSI NÄYTE ON OTETTU?: kontr.	NA	437	Package, so information needs to be unpacked	NA	137	NA	302	NA
Tutkimuksen tulos: posit	1	430	NA	0.998	306	0.997	278	NA
NEGAT Lopullinen vastaus	0	422	NA	0.993	290	0.997	312	NA
Tutkimuksen tulos: -(neg)	0	420	NA	0.995	202	0.995	283	NA
Tutkimuksen tulos: F -SalmVi Negatiivinen	0	420	NA	1	209	1	217	NA
Tulos negatiivinen. Ei aktiiviin tai latenttiin tuberkuloosiin viittaavaa.	0	420	NA	3.75	202	3.741	200	NA
Bakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, jatkoviljelyä ei tehdä.Virtsanäytetyyppi: PLV (Keskivirtsa)Rakkoaika: Yli 4 tuntia	0	405	NA	NA	375	NA	258	NA
pos.	1	401	NA	1.215	347	1.235	233	NA
NEGATNäytteen laatu:Nenänielu	0	400	NA	1	340	1	171	NA
B Rh NEG	0	397	NA	1.454	352	1.437	270	NA
tehty; NEGATIIVINEN	0	396	NA	NA	338	NA	228	NA
Provresultat: NEG Lomake	0	394	NA	2.264	209	2.612	158	NA
Tehty Kliiniset tiedot: Huomautukset:_Kliiniset tiedot: Huomautukset:_Kliiniset tiedot: Lisätietoja:_1. LÖYDÖS: Negatiivinen	0	391	NA	NA	373	NA	174	NA
Provresultat: pos	1	391	NA	1.024	234	1.031	160	NA
Tutkimuksen tulos: Neg.	0	390	NA	1	102	1	177	NA
EI TEHTYS-HCVAb-O negatiivinen.P-HCVNhJt-tutkimusta ei tehdä.	NA	385	NA	1.734	311	1.646	230	NA
Tehty NEGATAkkreditoitu tutkimus.	0	379	NA	NA	372	NA	212	NA
Tehty 1. LÖYDÖS: (Viljely) Negatiivinen	0	362	NA	4.022	354	3.933	165	NA
Näytteenottotapa: KeskisuihkuRakkoaika: 4hBakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, jatkoviljelyä ei tehdä.	0	361	NA	1	328	1	139	NA
Tutkimuksen tulos: NEGATNäytelaatu:ERITE, NENÄNIELU-	0	358	NA	1	336	1	144	NA
negat Titteri	0	357	NA	1.13	213	1.081	180	NA
Tehty Näytteen laatu:VirtsaNEGAT	0	353	NA	NA	337	NA	226	NA
Tutkimuksen tulos: neg Arvio	0	349	NA	0.997	200	0.995	149	NA
Tutkimuksen tulos: POS	1	348	NA	0.997	306	1	215	NA
Provresultat: Neg.	0	341	NA	1.006	73	1.028	146	NA
<3 Viitearvot S -hCG: Fertiili-ikäiset                 alle  5 IU/l Postmenopaussi                   alle 14 IU/l Raskaus tai raskauden jälkitila  yli  24 IU/l Referensvärdena S -hCG: Fertil ålder mindre än 5 IU/l Postmenopaus mindre än 14 IU/l Under graviditeten mer än 24 IU/l	NA	332	False "positive" (pun intended) from Post string	NA	214	NA	171	NA
Provresultat: Posit	1	328	NA	1.116	211	1.093	159	NA
NEGAT Vastaus perustuu bakteeri- ja leukosyyttilaskentaan.Akkreditoitu tutkimus.	0	325	NA	NA	312	NA	191	NA
Resultat: POSITIVE	1	323	NA	1	123	1	186	NA
Tehty F -BaktVi1 NEGATTutkimus sisältääosatutkimuksetF -CampVi, F -SalmVi,F -ShigVi ja F -YersViF-BaktVi1 innehåller följandedelundersökningar:F-CampVi, F-SalmVi, F-Shig-Vi, F-YersVi	0	322	Package result	NA	318	NA	146	NA
Negat Akkreditoitu tutkimus.	0	316	NA	NA	148	NA	165	NA
Negat. Arvio	0	314	NA	2.066	36	2.118	144	NA
Raja-arvot:Negatiivinen &lt;50Raja-arvoinen 50-120Positiivinen &gt;120	NA	308	WTF - possibly REF ranges	NA	171	NA	179	NA
Bakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, näytettäei viljellä.Virtsanäytetyyppi: PLV:aamu/&gt;4hMIKSI NÄYTE ON OTETTU?: kontrolli	0	307	NA	NA	152	NA	168	NA
Resultat: neg.	0	305	NA	1	233	1	79	NA
Tutkimuksen tulos: Negat. titteri	0	304	NA	1	299	1	124	NA
<0.1 Erittelytutkimuksia (timotei (g6), hevonen (e3), koivu (t3), pujo (w6), kotipölypunkki D.pteronyssinus (d1), kissa (e1), koira (e5), home Cladosporium herbarum (m2)) ei ole tehty, koska seulonta on negatiivinen.	NA	301	NA	NA	300	NA	179	NA
-neg	0	292	NA	1.007	114	1.018	174	NA
-(Neg)	0	291	NA	1.007	270	1.007	141	NA
<20 Menetelmä ja viitearvot ovat  muuttuneet 10.3.2025.Reumafaktorin ollessa 30-50 IU/ml katsotaan tuloksen olevan heikosti positiivinen.	NA	291	NA	NA	289	NA	159	NA
Bakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, näytettäei viljellä.Virtsanäytetyyppi: PLV	NA	288	NA	2.304	271	2.258	146	NA
Tehty1. LÖYDÖS: (Viljely) NEGATIIVINEN	0	286	NA	0.888	144	0.917	186	NA
Tehty.NEGAT	0	286	NA	0.997	157	0.994	207	NA
POSIT EIU	1	285	NA	1	270	1	119	NA
Tutkimuksen tulos: Positiivinen	1	281	NA	1	260	1	179	NA
Neisseria gonorrhoeae negatiivinenChlamydia trachomatis negatiivinennäytteenlaatu Limakalvoanatomia Nieluottotapa Pumpulitikku	0	281	package test result	2.213	187	1.928	172	NA
Ottotapa: KS^KeskisuihkuRakkoaika: 4Bakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, jatkoviljelyä ei tehdä.	0	277	NA	NA	252	NA	145	NA
Provresultat: NEGAT Lomake	0	276	NA	1.423	143	1.349	179	NA
SEULONTA:: ; VÄRJÄYS:: ; NHO:: ; AER.PULLO:: NEGATIIVINEN; ANAER.PULLO:: NEGATIIVINEN	NA	275	package test result	NA	173	NA	180	NA
Näytteestä ei ole osoitettavissa Cl. difficile -bakteerin B-toksiinigeeniä.Nukleiinihaponosoitukset negatiiviset.	0	270	NA	1.57	215	1.525	170	NA
Tutkimuksen tulos: Ps-StrVi Negatiivinen	1	268	NA	1	250	1	148	NA
negat g/l	0	264	NA	1.109	257	1.108	155	NA
Tutkimuksen tulos: Ei tehty, koska S -ENA negat. U ml	NA	264	NA	1	84	1	119	NA
Tutkimuksen tulos: NEGAT AU/ml	0	261	NA	1	134	1	157	NA
Vastaus: NEGAT Lomake	0	255	NA	1	141	1	139	NA
Resultat: negat Lomake	0	255	NA	1	99	1	122	NA
NEG<25	0	250	NA	1.05	191	1.044	160	NA
Provresultat: Neg	0	249	NA	1.915	139	3.971	148	NA
+(pos A)	1	249	!! WARNING: NEW ENTRY !!	NA	226	NA	137	NA
1. LÖYDÖS: (Viljely) 2 VRK NEG   Mikäli kasvua ilmenee rikastusviljelyssä,   ilmoitamme siitä noin 6 vrk:n kuluessa.Ottokohta2: veri	NA	248	NA	2.102	177	2.011	145	NA
Tehty; NEGATIIVINEN; NEGATIIVINEN	0	248	NA	NA	128	NA	149	NA
-/neg	0	246	NA	1.004	148	1.007	116	NA
Tutkimuksen tulos: Posit.	1	245	NA	0.996	212	0.995	114	NA
<0.1 Erittelytutkimuksia (munanvalkuainen (f1), maito (f2), turska (f3), vehnä (f4), maapähkinä (f13), soijapapu (f14)) ei ole tehty, koska seulonta on negatiivinen.	NA	242	NA	NA	241	NA	138	NA
Negat. Ei vasta-aineita. Ei viitettä H. pylori-infektiosta.	0	240	NA	48	240	48	156	NA
Vastaus: neg Lomake	0	238	NA	1	147	1	149	NA
Tutkimuksen tulos: neg.	0	237	NA	1	140	1	51	NA
Pos*	1	237	NA	1	161	1	117	NA
Tutkimuksen tulos: SEULPOS	1	235	NA	0.996	175	0.994	124	NA
Negat HPV 16 - NegatHPV 18/45 - NegatMuut korkean riskin HPV-tyypit (31,33,35,39,45,51,52,56,58,59,66,68) - Negat	NA	230	package	NA	230	NA	85	NA
Tehty Kliiniset tiedot: Antimikrobihoito? Vaikuttava aine ja ajankohta:1. LÖYDÖS: Negatiivinen	0	229	NA	NA	225	NA	126	NA
AB Rh NEG	NA	222	NA	1.521	184	1.394	41	NA
Tutkimuksen tulos: Negat. Viitearvot: Negat.	0	219	NA	1	187	1	117	NA
Tutkimuksen tulos: pos	1	219	NA	1	178	1	112	NA
Resultat: Pos.	1	217	NA	1	146	1	96	NA
Vastaus: pos	1	212	NA	1	106	1	105	NA
Tutkimuksen tulos: Negat. Ei kasvua	0	210	NA	1	188	1	109	NA
Neisseria gonorrhoeae negatiivinenChlamydia trachomatis negatiivinenNäytteen laatu:VAGINAN ERITE	0	208	NA	NA	206	NA	137	NA
Positive	1	200	NA	1.149	157	1.154	83	NA
ABRh(D)neg	NA	199	NA	1.082	135	1.063	120	NA
Tehty Viljely: NEGAT	0	199	NA	NA	195	NA	53	NA
Resultat: negat	0	197	NA	0.985	86	0.989	115	NA
Tutkimuksen tulos: Lausunto1. LÖYDÖS: NEGATIIVINEN	0	196	NA	1	64	1	111	NA
Bakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, jatkoviljelyä ei tehdä.Virtsanäytetyyppi: PLV (Keskivirtsa)Rakkoaika: Alle 4 tuntia	0	195	NA	NA	186	NA	109	NA
NEGAT bakt/ml	0	195	NA	1.048	94	1.106	106	NA
Tehty; SIENINATIIVI NEGATIIVINEN; EI SIENIKASVUA	0	193	NA	NA	178	NA	101	NA
Tutkimuksen tulos: gluk neg keto neg suht.tiheys 1.020 veri neg ph 5 prot neg nitr neg leuk neg	0	193	NA	1	183	1	119	NA
ChtrNhO:: NEGATIIVINEN; GcNhO:: NEGATIIVINEN	0	192	NA	NA	150	NA	47	NA
negat Indeksi	0	191	check testID --> OK	1.005	186	1.005	125	NA
VILJELY: NEGATIIVINEN; HERKKYYS::	NA	180	!! WARNING: NEW ENTRY !!	NA	161	NA	97	NA
Resultat: NEGAT Titteri	0	177	NA	1	114	1	111	NA
Vastaus: NEG Lomake	0	175	NA	0.994	120	0.992	110	NA
Resultat: pos Lomake	1	174	NA	1	116	1	86	NA
NEGAT AU/ml	0	173	NA	1.301	120	1.212	63	NA
Negat. Näytteessä ei todeta M.pneumoniae -bakteerin DNA:ta. Ei viitettä infektiosta.	NA	172	!! WARNING: NEW ENTRY !!	NA	171	NA	104	NA
Tehty NEGAT NhO tulosNäytteestä ei ole tehty viljelyä. Tutkimukseen sisältyvät Campylobacter spp,Salmonella spp., Shigella spp., Yersinia enterocolitica, EHEC, Aeromonas spp.,Vibrio spp., Clostridium difficile toxin B, hypervirulentti Clostridium difficile ja vain NhO-tutkimuksella todettavissa olevat ripulia aiheuttavat E.colit (ETEC, EPEC, EIEC, EAEC).Provet är inte odlat. I analysen ingår Campylobacter spp,Salmonella spp, Shigella spp, Yersinia entercolitica, EHEC, Aeromonas spp,Vibrio spp, Clostridium difficile toxin B, hypervirulenta Clostridium difficileoch endast med NhO-tekniken fastställbara E.colin vilka orsakar diarre (ETEC, EPEC, EIEC, EAEC).	NA	172	!! WARNING: NEW ENTRY !!	NA	172	NA	93	NA
POS*	1	172	NA	1.623	126	1.938	110	NA
negativ	0	165	NA	1.279	131	1.272	110	NA
Resultat: Negat	0	165	NA	1	37	1	66	NA
Tutkimuksen tulos: F -SalmVi Negatiivinen  F -ShigVi Negatiivinen  F -YersVi Negatiivinen  F -CampVi Negatiivinen	0	164	NA	1	161	1	106	NA
posit***	1	163	NA	1	94	1	88	NA
Ottotapa: KS^KeskisuihkuRakkoaika: 3Bakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, jatkoviljelyä ei tehdä.	NA	162	!! WARNING: NEW ENTRY !!	NA	139	NA	66	NA
Bakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, näytettäei viljellä.Virtsanäytetyyppi: PLV: alle 4 h	NA	161	NA	2.205	146	2.212	106	NA
Bakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, näytettäei viljellä.Virtsanäytetyyppi: PLV:aamu/&gt;4hMIKSI NÄYTE ON OTETTU?: kontr	NA	160	!! WARNING: NEW ENTRY !!	NA	45	NA	104	NA
NEG.	0	159	NA	1.5	71	1.145	88	NA
Resultat: negativ	0	159	NA	1	97	1	102	NA
POS IU/ml	0	158	NA	1	66	1	80	NA
neg Lopullinen vastaus	0	157	NA	1	25	1	61	NA
POSIT:	1	156	NA	1	122	1	93	NA
Bakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, näytettäei viljellä.	NA	155	NA	3.974	139	3.564	48	NA
NEGAT kopiota/ml	0	153	NA	1	29	1	42	NA
Tutkimuksen tulos: Negat l	0	153	NA	1.142	85	1.09	76	NA
nega	0	151	NA	1.495	67	1.367	78	NA
posit EIU	1	148	NA	1	146	1	59	NA
-negatiivinen	0	146	NA	1	132	1	71	NA
Negat.Tulkinta/viitearvot,Negat.	0	144	NA	0.96	24	0.96	55	NA
Tutkimuksen tulos: Negat. U ml	0	144	NA	1	95	1	57	NA
- negatiivinen	0	144	NA	1	122	1	75	NA
Vasta-aineet natiivia DNA:ta kohtaan negatiiviset.	0	142	NA	NA	122	NA	51	NA
Tehty NegatiivinenTutkimus sisältää osatutkimukset F -CampVi, F -SalmVi, F -ShigVi ja F -YersVi.Analysen innehåller delanalyserna F -CampVi, F -SalmVi, F -ShigVi ja F -YersVi.	0	142	NA	NA	142	NA	72	NA
Neisseria gonorrhoeae negatiivinenChlamydia trachomatis negatiivinenNäytteen laatu:NIELUERITE	0	141	NA	NA	123	NA	84	NA
Resultat: positiv	1	138	NA	1	77	1	79	NA
Ottotapa: KeskisuihkuRakkoaika: 4Bakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, jatkoviljelyä ei tehdä.	0	135	NA	NA	126	NA	63	NA
Ottotapa: KS^KeskisuihkuBakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, jatkoviljelyä ei tehdä.	0	135	NA	NA	132	NA	82	NA
Vastaus: Neg.	0	134	NA	1	21	1	75	NA
Tutkimuksen tulos: Negat. Titteri	0	132	NA	1	131	1	62	NA
Tutkimuksen tulos: NEG Lomake	NA	131	NA	2.569	57	2.28	58	NA
Tutkimuksen tulos: Posit	1	130	NA	1.092	100	1.042	61	NA
VILJELY:: NEGATIIVINEN; HERKKYYS::	0	130	NA	NA	109	NA	59	NA
negat kopiota/ml	0	128	NA	1	26	1	73	NA
Ottotapa: KS^KeskisuihkuRakkoaika: 2Bakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, jatkoviljelyä ei tehdä.	0	124	NA	NA	115	NA	69	NA
Tehty; NEGATIIVINEN; EI AEROBISTA KASVUA; EI ANAEROBIKASVUA	0	123	NA	NA	95	NA	71	NA
Tutkimuksen tulos: Negatiivinen.	0	123	NA	1	113	1	72	NA
HPV 16 - NegatiivinenHPV 18 - NegatiivinenMuut korkean riskin HPV-tyypit(31,33,35,39,45,51,52,56,58,59,66,68) -NegatiivinenOttokohta: cervixOttokohta:cervix	NA	122	NA	2.068	116	2	70	NA
Provresultat: negat	0	121	NA	1.071	27	1.286	70	NA
Tehty----- LOPULLINEN VASTAUS -----1. LÖYDÖS: (Viljely) NEGATIIVINEN----- LOPULLINEN VASTAUS -----	0	121	NA	NA	112	NA	63	NA
Tutkimuksen tulos: F -Madonmunat Toukat: Negat.Alkuel.kystat: Negat.	0	120	package test result	1	49	1	52	NA
Värjäys: VÄRJÄYSTULOS NEGATNEGATIIVINEN	NA	119	NA	2.017	60	1.667	71	NA
