OMOP Concept ID	Lab test ID	Lab test abbreviation	Lab test unit
3000213	6002406	du-normet	µmol
3000213	1102406	du-normet	µmol
3000213	2406	du-normet	binary
3000213	2102406	du-normet	µmol
3000213	3002406	du-normet	µmol
3000213	604612	du-normet	µmol
3000213	2406	du-normet	nmol
3000213	519	du-normet	µmol/24h
3000213	102406	du-normet	µmol
3000213	2406	du-normet	µmol/l
3000213	102406	du-normet	µmol/24h
3000213	1102406	du-normet	µmol/24h
3000213	2102406	du-normet	µmol/24h
3000219	6162	s-insurab	binary
3000475	3080	sy-leuk	e6/l
3000475	3080	sy-leuk	binary
3000475	6003080	sy-leuk	e6/l
3000475	3003080	sy-leuk	e6/l
3000475	1003080	sy-leuk	binary
3000475	3080	sy-leuk	e9/l
3000475	1103080	sy-leuk	e6/l
3000475	2103080	sy-leuk	e6/l
3000475	103080	sy-leuk	e6/l
3000475	3080	sy-leuk	NA
3000475	504	sy-leuk	e6/l
3000475	509	sy-leuk	e6/l
3000475	9539	sy-leuk	e6/l
3000475	10070	sy-leuk	e6/l
3000475	1003080	sy-leuk	e6/l
3000475	103080	sy-leuk	binary
3000475	714	sy-leuk	e6/l
3000475	100714	sy-leuk	binary
3000475	100714	sy-leuk	e6/l
3000475	3003080	sy-leuk	binary
3000475	4003080	sy-leuk	e6/l
3000475	1103080	sy-leuk	binary
3000475	625315	sy-leuk	binary
3000475	637957	sy-leuk	binary
3000494	3509	sk-sienvi	binary
3000494	3003509	sk-sienvi	binary
3000494	3508	pu-sienvi	binary
3000494	2631	-sienvi	binary
3000494	1605200	sk-sienvi	binary
3000494	103509	sk-sienvi	binary
3000494	1103509	sk-sienvi	binary
3000494	2103509	sk-sienvi	binary
3000494	1605255	pu-sienvi	binary
3000494	7010271	sk-sienvi	binary
3000494	103508	pu-sienvi	binary
3000494	4003509	sk-sienvi	binary
3000494	3003508	pu-sienvi	binary
3000494	7010272	pu-sienvi	binary
3000494	602211	sk-sienvi	binary
3000494	3509	sk-sienvi	form
3000494	2631	-sienvi	form
3000494	2103508	pu-sienvi	binary
3000510	7109	s-ldestre	u/ml
3000515	1103	p-at3	%
3000515	8732	p-at3.	%
3000515	10819	p-at3	%
3000515	50387	p-at3.	%
3000515	602874	p-at3.	%
3000515	1103	p-at3	binary
3000515	9583	p-at3.	%
3000515	3001103	p-at3	%
3000515	2607051	p-at3.	%
3000515	1607051	p-at3.	%
3000515	41103	p-at3	%
3000515	6001103	p-at3	%
3000515	8732	p-at3.	binary
3000515	607051	p-at3.	%
3000515	9019	p-at3	%
3000515	8732	p-at3	%
3000515	606172	p-at3.	%
3000515	7354144	p-at3.	%
3000515	1103	p-at3	form
3000515	101103	p-at3	%
3000515	2101103	p-at3	%
3000515	1101103	p-at3	%
3000515	9583	p-at3	%
3000515	1103	p-at3	NA
3000515	10819	p-at3	binary
3000515	1602874	p-at3.	%
3000515	633432	p-at3	%
3000515	632522	p-at3	%
3000570	1718	f-elast1	µg/g
3000570	1718	f-elast1	binary
3000570	3001718	f-elast1	µg/g
3000570	3001718	f-elast1	binary
3000570	6001718	f-elast1	µg/g
3000570	2601475	f-elast1	µg/g
3000570	1001718	f-elast1	binary
3000570	1601475	f-elast1	µg/g
3000570	606748	f-elast1	µg/g
3000570	6001718	f-elast1	binary
3000570	1718	f-elast1	NA
3000570	606748	f-elast1	binary
3000570	601475	f-elast1	µg/g
3000570	608930	f-elast1	µg/g
3000570	1001718	f-elast1	µg/g
3000570	100809	f-elast1	binary
3000570	4001718	f-elast1	µg/g
3000570	1601475	f-elast1	binary
3000570	602803	f-elast1	µg/g
3000570	2601475	f-elast1	binary
3000570	100809	f-elast1	µg/g
3000570	602909	f-elast1	binary
3000570	101718	f-elast1	µg/g
3000570	600303	f-elast1	µg/g
3000570	1600460	f-elast1	binary
3000570	600303	f-elast1	binary
3000570	101718	f-elast1	binary
3000570	4001718	f-elast1	binary
3000570	626148	f-elast1	µg/g
3000570	602311	f-elast1	µg/g
3000570	602803	f-elast1	binary
3000570	602373	f-elast1	binary
3000570	602373	f-elast1	µg/g
3000570	602542	f-elast1	µg/g
3000570	602311	f-elast1	binary
3000620	4545	p-c3	g/l
3000620	2106	s-c3	g/l
3000620	4545	p-c3	binary
3000620	617397	p-c3	g/l
3000620	1605007	p-c3	g/l
3000620	247	p-c3	g/l
3000620	2106	s-c3	binary
3000620	67	p-c3	g/l
3000620	3002106	s-c3	g/l
3000620	9683	s-c3	g/l
3000620	2106	p-c3	g/l
3000620	646186	p-c3	g/l
3000620	1102106	s-c3	g/l
3000620	4545	p-c3	NA
3000620	609539	p-c3	g/l
3000620	610291	p-c3	g/l
3000620	102106	s-c3	g/l
3000620	631551	s-c3	g/l
3000620	1623675	p-c3	g/l
3000620	629389	p-c3	g/l
3000620	629712	p-c3	g/l
3000620	7010040	p-c3	g/l
3000620	1002107	p-c3	g/l
3000620	604290	p-c3	g/l
3000620	9106	s-c3	g/l
3000620	2102106	s-c3	g/l
3000620	7134	p-c3	g/l
3000620	643911	p-c3	g/l
3000620	247	s-c3	g/l
3000636	3548	s-histab	binary
3000636	3548	s-histab	u/ml
3000690	1033	du-aldos	nmol
3000690	1033	du-aldos	nmol/24h
3000690	3001033	du-aldos	nmol
3000690	1033	du-aldos	binary
3000690	1033	du-aldos	µg/24h
3000690	1033	du-aldos	nmol/l
3000690	101033	du-aldos	nmol
3000690	6001033	du-aldos	nmol
3000764	1178	u-bendi-o	binary
3000764	3001178	u-bendi-o	binary
3000764	774	u-bendi-o	binary
3000764	101178	u-bendi-o	binary
3000764	11178	u-bendi-o	binary
3000764	6001178	u-bendi-o	binary
3000764	603422	u-bendi-o	binary
3000764	626978	u-bendi-o	binary
3000764	2101178	u-bendi-o	binary
3000764	1101178	u-bendi-o	binary
3000764	8548	u-bendi-o	binary
3000764	224	u-bendi-o	binary
3000764	4001178	u-bendi-o	binary
3000764	604150	u-bendi-o	binary
3000764	31178	u-bendi-o	binary
3000850	10096	u-epit	e6/l
3000850	980	u-epit	e6/l
3000850	385	u-epit	e6/l
3000850	1360	u-epit	e6/l
3000850	6566	u-epit	e6/l
3000850	9243	u-epit	e6/l
3000850	571	u-epit	e6/l
3000850	10096	u-epit	binary
3000850	615359	u-epit	e6/l
3000850	980	u-epit	e6/l
3000850	383	u-epit	e6/l
3000850	11121	u-epit	e6/l
3000850	618959	u-epit	e6/l
3000850	11167	u-epit	e6/l
3000850	2630670	u-epit	binary
3000850	615359	u-epit	binary
3000850	3630670	u-epit	binary
3000850	604500	u-epit	e6/l
3000850	603953	u-epit	e6/l
3000850	1615359	u-epit	e6/l
3000850	607357	u-epit	e6/l
3000850	10017248	u-epit	e6/l
3000850	1630670	u-epit	binary
3000850	615361	u-epit	e6/l
3000850	1360	u-epit	binary
3000850	10033	u-epit	e6/l
3000850	571	u-epit	e6/l
3000850	1615359	u-epit	binary
3000850	11121	u-epit	binary
3000850	101360	u-epit	e6/l
3000850	647234	u-epit	binary
3000850	571	u-epit	binary
3000850	9243	u-epit	binary
3000850	14058	u-epit	e6/l
3000850	12434	u-partik	binary
3000850	101360	u-epit	binary
3000850	618959	u-epit	binary
3000850	625464	u-epit	binary
3000850	627698	u-epit	binary
3000850	980	u-epit	binary
3000850	627698	u-epit	e6/l
3000850	607357	u-epit	binary
3000850	603657	u-epit	binary
3000850	6566	u-epit	binary
3000850	14058	u-epit	binary
3000850	123	u-epit	binary
3000850	385	u-epit	binary
3000876	174	ruokafx5	u/ml
3000876	174	ruokafx5	binary
3000899	92491	s-stpn7f	mg/l
3000936	7066	s-kiivie	u/ml
3000936	7066	s-kiivie	form
3000963	3001552	b-hb	g/l
3000963	1552	b-hb	binary
3000963	101552	b-hb	g/l
3000963	3001552	b-hb	binary
3000963	6001552	b-hb	g/l
3000963	2629410	b-hb	g/l
3000963	1552	b-hb	g/l
3000963	3629410	b-hb	g/l
3000963	1552	b-hb	NA
3000963	1001552	b-hb	binary
3000963	9503	b-hb	g/l
3000963	1629410	b-hb	g/l
3000963	482	b-hb	g/l
3000963	6001552	b-hb	binary
3000963	1101552	b-hb	g/l
3000963	110	b-thb	g/l
3000963	9001	b-hb	g/l
3000963	1001552	b-hb	g/l
3000963	4001552	b-hb	g/l
3000963	9124	b-hb	g/l
3000963	602926	b-hb	g/l
3000963	9000	b-hb	g/l
3000963	15521	b-hb	g/l
3000963	101552	b-hb	binary
3000963	300	b-hb	g/l
3000963	4001552	b-hb	binary
3000963	10245	b-hb	g/l
3000963	110	b-thb	g/l
3000963	11552	b-hb	g/l
3000963	600775	b-hb	binary
3000963	2629410	b-hb	binary
3000963	3629410	b-hb	binary
3000963	1101552	b-hb	binary
3000963	121	b-hb	NA
3000963	100104	b-hb	g/l
3000963	21552	b-hb	g/l
3000963	625375	b-hb	g/l
3000963	1552	b-hb	form
3000963	1552	b-hb	e9/l
3000963	1629410	b-hb	binary
3000963	6001552	b-hb	NA
3000963	10001	b-hb	g/l
3000963	602618	b-hb	binary
3000963	482	b-hb	NA
3000963	101552	b-hb	NA
3000963	50050	b-thb	g/l
3000963	602266	b-hb	g/l
3000963	3000110	b-thb	g/l
3000963	1627313	b-hb	binary
3000963	602926	b-hb	binary
3000963	600775	b-hb	g/l
3000963	9124	b-hb	NA
3000963	3001552	b-hb	NA
3000963	482	b-hb	binary
3000963	9001	b-hb	binary
3000963	1629410	b-hb	NA
3000963	1001552	b-hb	NA
3000963	110	b-thb	binary
3000965	8818	p-crp-o	mg/l
3000965	50158	p-crp-o	mg/l
3000965	8818	p-crp-o	binary
3000965	7035803	p-crp-o	mg/l
3000965	1217	s-crp-o	mg/l
3000965	613895	p-crp-o	mg/l
3000965	7035803	p-crp-o	binary
3000965	613895	p-crp-o	binary
3000965	1217	s-crp-o	binary
3000965	1217	s-crp-o	NA
3000965	2629324	p-crp-o	mg/l
3000965	1217	p-crp-o	mg/l
3000965	3629324	p-crp-o	mg/l
3000965	1217	s-crp-o	form
3000965	10004	p-crp-o	mg/l
3000965	2629324	p-crp-o	binary
3000965	1613895	p-crp-o	binary
3000965	1613895	p-crp-o	mg/l
3000965	50158	p-crp-o	binary
3000965	1629324	p-crp-o	binary
3000965	7010488	p-crp-o	mg/l
3000965	7010488	p-crp-o	binary
3000965	3629324	p-crp-o	binary
3000965	8818	p-crp-o	NA
3000965	1217	s-crp-o	u/ml
3000965	602916	s-crp-o	binary
3000965	1217	p-crp-o	binary
3000965	1629324	p-crp-o	mg/l
3000965	630912	p-crp-o	mg/l
3000991	1543	vb-he-tase	binary
3000991	4839	vb-het-ion	binary
3000991	3649	vb-vekaas	binary
3000991	48390000	vb-het-ion	binary
3000991	1543	vb-he-tase	NA
3001079	2953	s-vrab-o	binary
3001079	4577	p-vrab-o	binary
3001079	2953	p-vrab-o	binary
3001079	3002953	p-vrab-o	binary
3001079	607788	p-vrab-o	binary
3001079	104577	p-vrab-o	binary
3001079	2102953	p-vrab-o	binary
3001079	603720	p-vrab-o	binary
3001079	621357	p-vrab-o	binary
3001079	1102953	p-vrab-o	binary
3001079	602930	p-vrab-o	binary
3001079	1605090	p-vrab-o	binary
3001079	619217	p-vrab-o	binary
3001079	603136	p-vrab-o	binary
3001079	102953	p-vrab-o	binary
3001079	4002953	p-vrab-o	binary
3001079	623697	p-vrab-o	binary
3001079	7010059	p-vrab-o	binary
3001079	103709	p-vrab-o	binary
3001122	4826	p-ferrit	µg/l
3001122	1395	s-ferrit	µg/l
3001122	617876	p-ferrit	µg/l
3001122	4826	p-ferrit	binary
3001122	1605017	p-ferrit	µg/l
3001122	606675	p-ferrit	binary
3001122	1395	s-ferrit	binary
3001122	101395	s-ferrit	µg/l
3001122	617876	p-ferrit	binary
3001122	1001395	p-ferrit	binary
3001122	2630464	p-ferrit	µg/l
3001122	3630464	p-ferrit	µg/l
3001122	608791	p-ferrit	µg/l
3001122	1604812	p-ferrit	µg/l
3001122	617431	p-ferrit	µg/l
3001122	101395	p-ferrit	µg/l
3001122	2630464	p-ferrit	binary
3001122	1395	p-ferrit	µg/l
3001122	1630464	p-ferrit	binary
3001122	613961	p-ferrit	µg/l
3001122	604276	p-ferrit	µg/l
3001122	1605017	p-ferrit	binary
3001122	624168	p-ferrit	µg/l
3001122	10016488	p-ferrit	µg/l
3001122	1001395	p-ferrit	µg/l
3001122	3630464	p-ferrit	binary
3001122	608791	p-ferrit	binary
3001122	603026	s-ferrit	µg/l
3001122	10016494	p-ferrit	µg/l
3001122	614979	p-ferrit	µg/l
3001122	603552	p-ferrit	µg/l
3001122	629242	p-ferrit	µg/l
3001122	7010282	p-ferrit	µg/l
3001122	1395	s-ferrit	NA
3001122	602057	s-ferrit	µg/l
3001122	613961	p-ferrit	binary
3001122	10016488	p-ferrit	binary
3001122	604276	p-ferrit	binary
3001122	10016494	p-ferrit	binary
3001122	101395	s-ferrit	binary
3001122	603552	p-ferrit	binary
3001122	1395	s-ferrit	nmol/l
3001122	7010282	p-ferrit	binary
3001122	626032	p-ferrit	binary
3001122	617431	p-ferrit	binary
3001122	2101395	s-ferrit	µg/l
3001122	603026	s-ferrit	binary
3001122	614979	p-ferrit	binary
3001122	1395	p-ferrit	binary
3001122	1604812	p-ferrit	binary
3001122	4826	p-ferrit	NA
3001122	624168	p-ferrit	binary
3001122	629242	p-ferrit	binary
3001186	2170	s-cu	µmol/l
3001186	3002170	s-cu	µmol/l
3001186	2170	s-cu	binary
3001308	4599	fp-kol-ldl	mmol/l
3001308	2099	fs-kol-ldl	mmol/l
3001308	6433	p-kol-ldl	mmol/l
3001308	605259	fp-kol-ldl	mmol/l
3001308	4599	fp-kol-ldl	binary
3001308	1605024	fp-kol-ldl	mmol/l
3001308	605259	fp-kol-ldl	binary
3001308	6433	p-kol-ldl	binary
3001308	1605269	fp-kol-ldl	mmol/l
3001308	102099	fp-kol-ldl	mmol/l
3001308	3005319	fp-kol-ldl	mmol/l
3001308	609272	fp-kol-ldl	mmol/l
3001308	2605269	fp-kol-ldl	mmol/l
3001308	4599	fp-kol-ldl	NA
3001308	2099	fp-kol-ldl	mmol/l
3001308	604272	fp-kol-ldl	mmol/l
3001308	604453	fp-kol-ldl	mmol/l
3001308	4122	fp-kol-ldl	mmol/l
3001308	604453	fp-kol-ldl	binary
3001308	605269	fp-kol-ldl	binary
3001308	2605269	fp-kol-ldl	binary
3001308	2099	fs-kol-ldl	NA
3001308	633118	p-kol-ldl	binary
3001308	603108	fp-kol-ldl	mmol/l
3001308	1002099	fp-kol-ldl	mmol/l
3001308	1605259	fp-kol-ldl	mmol/l
3001308	104599	fp-kol-ldl	mmol/l
3001308	2629664	fp-kol-ldl	binary
3001308	602784	fp-kol-ldl	mmol/l
3001308	7010050	fp-kol-ldl	mmol/l
3001308	602577	fp-kol-ldl	mmol/l
3001308	619254	fp-kol-ldl	mmol/l
3001308	6432	s-kol-ldl	mmol/l
3001308	1605259	fp-kol-ldl	binary
3001308	603238	fp-kol-ldl	mmol/l
3001308	609272	fp-kol-ldl	binary
3001308	1605269	fp-kol-ldl	binary
3001308	602856	fp-kol-ldl	mmol/l
3001308	3663264	p-kol-ldl	binary
3001308	603238	p-kol-ldl	mmol/l
3001308	7377222	p-kol-ldl	mmol/l
3001308	102099	fs-kol-ldl	mmol/l
3001308	1674162	p-kol-ldl	binary
3001308	4599	p-kol-ldl	mmol/l
3001308	602369	fp-kol-ldl	mmol/l
3001308	2099	fs-kol-ldl	binary
3001308	10103	fs-kol-ldl	mmol/l
3001308	3969979	p-kol-ldl	mmol/l
3001308	624677	p-kol-ldl	mmol/l
3001308	648920	p-kol-ldl	mmol/l
3001308	1654411	fp-kol-ldl	mmol/l
3001308	2099	fp-kol-ldl	NA
3001308	2099	fp-kol-ldl	binary
3001308	650484	p-kol-ldl	mmol/l
3001308	102099	fp-kol-ldl	binary
3001308	9957	fp-kol-ldl	mmol/l
3001308	765	fp-kol-ldl	mmol/l
3001308	2673406	p-kol-ldl	mmol/l
3001308	6433	p-kol-ldl	NA
3001308	603108	fp-kol-ldl	binary
3001308	633838	p-kol-ldl	binary
3001308	602577	fp-kol-ldl	binary
3001308	619254	fp-kol-ldl	binary
3001308	6431	p-kol-ldl	mmol/l
3001308	602856	fp-kol-ldl	binary
3001308	603238	fp-kol-ldl	binary
3001308	2099	fs-kol-ldl	form
3001308	4599	fp-kol-ldl	mmol/
3001308	645564	p-kol-ldl	mmol/l
3001308	604272	fp-kol-ldl	binary
3001308	602369	fp-kol-ldl	binary
3001308	45992	p-kol-ldl	mmol/l
3001308	6433	fp-kol-ldl	mmol/l
3001308	3743517	p-kol-ldl	mmol/l
3001308	635374	p-kol-ldl	mmol/l
3001308	6432	s-kol-ldl	NA
3001308	9360	fp-kol-ldl	mmol/l
3001308	45992	p-kol-ldl	binary
3001308	7029020	p-kol-ldl	mmol/l
3001308	3005319	fp-kol-ldl	binary
3001308	104599	fp-kol-ldl	binary
3001308	2928850	p-kol-ldl	mmol/l
3001308	4083832	p-kol-ldl	mmol/l
3001308	619254	fp-kol-ldl	NA
3001308	624614	p-kol-ldl	mmol/l
3001308	1605024	fp-kol-ldl	NA
3001405	10824	b-cd8	e6/l
3001405	10824	b-cd8	binary
3001467	8727	s-afluust	u/l
3001467	10483	afosluusto	u/l
3001467	602861	s-afluust	u/l
3001467	10483	s-afluust	u/l
3001467	8727	s-afluust	binary
3001467	1606544	s-afluust	u/l
3001467	2606544	s-afluust	u/l
3001467	1653852	s-afluust	u/l
3001467	604719	afosluusto	u/l
3001467	1602861	s-afluust	u/l
3001467	10017852	afosluusto	u/l
3001467	4502	s-afluust	u/l
3001467	1649211	s-afluust	u/l
3001467	615914	afosluusto	u/l
3001475	2700	s-strdnab	u/ml
3001475	2700	s-strdnab	binary
3001475	3002700	s-strdnab	u/ml
3001475	6002700	s-strdnab	u/ml
3001488	977	maito	u/ml
3001488	977	maito	binary
3001501	602923	gluk-pika	mmol/l
3001501	9029	gluk-pika	mmol/l
3001501	604760	gluk-pika	mmol/l
3001501	9029	gluk-pika	NA
3001501	4	gluk-pika	mmol/l
3001501	92	gluk-pika	mmol/l
3001501	3009029	gluk-pika	mmol/l
3001556	828	testo/shbg	NA
3001556	615844	testo/shbg	NA
3001556	828	testo/shbg	binary
3001556	623639	testo/shbg	NA
3001556	628428	testo/shbg	NA
3001604	3230	b-monos	e9/l
3001604	3230	b-monos	binary
3001604	42	b-monos	e9/l
3001604	3003230	b-monos	e9/l
3001604	42	b-monos	e9/l
3001604	1605103	b-monos	e9/l
3001604	3230	b-monos	%
3001604	3003230	b-monos	binary
3001604	42	b-monos	binary
3001604	369	l-monos	e9/l
3001604	498	b-monos	e9/l
3001604	604163	b-monos	e9/l
3001604	3000042	b-monos	binary
3001604	9100	b-monos	%
3001604	604163	b-monos	binary
3001604	1103230	b-monos	binary
3001604	2103230	b-monos	binary
3001604	1003230	b-monos	binary
3001604	10205	b-monos	%
3001604	10205	b-monos	e9/l
3001604	103230	b-monos	binary
3001604	42	l-monos	e9/l
3001604	632301	b-monos	e9/l
3001604	103230	b-monos	e9/l
3001604	4003230	b-monos	e9/l
3001604	600323	b-monos	e9/l
3001604	643984	b-monos	e9/l
3001604	1605103	b-monos	binary
3001604	7010066	b-monos	e9/l
3001604	3230	l-monos	e9/l
3001604	3230	b-monos	NA
3001604	42	b-monos	NA
3001604	4003230	b-monos	binary
3001604	10238	b-monos	e9/l
3001604	10026	b-monos	e9/l
3001604	1654843	b-monos	e9/l
3001604	2225	b-monos	e9/l
3001604	10180	b-monos	e9/l
3001604	230	b-monos	%
3001604	10010	b-monos	%
3001604	10205	b-monos	binary
3001604	7010066	b-monos	binary
3001604	187	b-monos	e9/l
3001604	10009	b-monos	%
3001604	10054	b-monos	%
3001604	643984	b-monos	binary
3001604	103230	l-monos	e9/l
3001604	10114	b-monos	e9/l
3001604	10115	b-monos	e9/l
3001604	10067	b-monos	e9/l
3001604	103230	b-monos	NA
3001684	13228	rvirag-o	binary
3001684	4351	-rsvag	binary
3001684	2579	-rvirag	binary
3001684	5589610	rvirag-o	binary
3001686	2173	s-kyhemag	binary
3001686	2173	s-kyhemag	titre
3001784	4868	p-psa-suh	%
3001784	10792	psa-v/psa	binary
3001784	4868	p-psa-suh	binary
3001784	10792	psa-v/psa	%
3001784	1605034	p-psa-suh	%
3001784	4868	p-psa-suh	NA
3001784	631061	p-psa-suh	%
3001784	606119	p-psa-suh	%
3001784	616654	p-psa-suh	NA
3001784	631061	p-psa-suh	binary
3001784	604838	p-psa-suh	%
3001784	604838	p-psa-suh	binary
3001784	4868	p-psa-suh	form
3001784	2900845	p-psa-suh	%
3001784	606900	psa-v/psa	%
3001784	1604815	p-psa-suh	%
3001784	603960	p-psa-suh	%
3001784	610015	psa-v/psa	%
3001784	7010627	p-psa-suh	%
3001784	602225	psa-v/psa	%
3001784	4868	p-psa-suh	µg/l
3001784	12233	p-psa-suh	%
3001784	1635177	p-psa-suh	binary
3001784	613260	p-psa-suh	%
3001784	10015846	p-psa-suh	%
3001784	3636303	p-psa-suh	binary
3001784	1608385	p-psa-suh	%
3001784	609297	p-psa-suh	binary
3001784	624164	p-psa-suh	%
3001784	10015841	p-psa-suh	%
3001784	2650760	p-psa-suh	%
3001784	3946036	p-psa-suh	%
3001784	603271	p-psa-suh	%
3001784	4059110	p-psa-suh	binary
3001784	629232	p-psa-suh	%
3001784	1608385	p-psa-suh	binary
3001784	2900845	p-psa-suh	binary
3001784	2650760	p-psa-suh	binary
3001784	3946036	p-psa-suh	binary
3001784	626023	p-psa-suh	%
3001784	2635177	p-psa-suh	binary
3001784	3635177	p-psa-suh	binary
3001784	86	psa-v/psa	binary
3001784	12233	p-psa-suh	binary
3001788	1034	s-aldos	pmol/l
3001788	6078	p-aldos	pmol/l
3001788	6337	p-aldos	pmol/l
3001788	1034	s-aldos	binary
3001788	651321	s-aldos	pmol/l
3001788	7368125	s-aldos	pmol/l
3001788	626933	p-aldos	pmol/l
3001788	6078	p-aldos	binary
3001788	2101034	s-aldos	pmol/l
3001788	1034	p-aldos	pmol/l
3001788	3001034	s-aldos	pmol/l
3001788	1101034	s-aldos	pmol/l
3001788	624361	s-aldos	pmol/l
3001788	622252	p-aldos	pmol/l
3001788	603550	p-aldos	pmol/l
3001788	1646451	p-aldos	pmol/l
